Titulo;Descrição;Data Inicio;Data Fim;Categoria;dias uteis;dia da semana
Segunda Banca Noven Verão 28;Banca das peças piloto da Noven Verão 28;2027-01-19 00:00:00;2027-01-19 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Estilo; Lavanderia";1;3
Última Banca Noven Verão 28;Banca das peças piloto da Noven Verão 28;2027-03-16 00:00:00;2027-03-16 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Estilo; Lavanderia";1;3
Fotos Noven Verão 28;Fotos da Noven Verão 28;2027-05-24 00:00:00;2027-05-24 23:59:59;"Noven; Verão 28; PCP; Estilo; Expedição";1;2
Liberação Lacre Vermelho Noven Verão 28 (Grupo 07);Liberação das peças de lacre vermelho da Noven Verão 28 grupo 07. A data inicial é uma previsão, e a data final é um limite.;2026-10-20 00:00:00;2027-02-19 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Produção";69;3
Expedição Grupo 07 Noven Verão 28;"Expedição Grupo 07 Noven Verão 28; A data inicial é uma previsão, e a data final é um limite.";2027-07-01 00:00:00;2027-07-01 23:59:59;"Noven; Verão 28; Produção; Expedição";1;5
Liberação Lacre Vermelho Noven Verão 28 (Grupo 08);Liberação das peças de lacre vermelho da Noven Verão 28 grupo 08. A data inicial é uma previsão, e a data final é um limite.;2026-10-20 00:00:00;2027-03-24 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Produção";91;3
Expedição Grupo 08 Noven Verão 28;"Expedição Grupo 08 Noven Verão 28; A data inicial é uma previsão, e a data final é um limite.";2027-08-02 00:00:00;2027-08-02 23:59:59;"Noven; Verão 28; Produção; Expedição";1;2
Liberação Lacre Vermelho Noven Verão 28 (Grupo 09);Liberação das peças de lacre vermelho da Noven Verão 28 grupo 09. A data inicial é uma previsão, e a data final é um limite.;2027-01-26 00:00:00;2027-04-27 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Produção";61;3
Expedição Grupo 09 Noven Verão 28;"Expedição Grupo 09 Noven Verão 28; A data inicial é uma previsão, e a data final é um limite.";2027-09-01 00:00:00;2027-09-01 23:59:59;"Noven; Verão 28; Produção; Expedição";1;4
Liberação Lacre Vermelho Noven Verão 28 (Grupo 10);Liberação das peças de lacre vermelho da Noven Verão 28 grupo 10. A data inicial é uma previsão, e a data final é um limite.;2027-01-26 00:00:00;2027-05-26 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Produção";82;3
Expedição Grupo 10 Noven Verão 28;"Expedição Grupo 10 Noven Verão 28; A data inicial é uma previsão, e a data final é um limite.";2027-10-01 00:00:00;2027-10-01 23:59:59;"Noven; Verão 28; Produção; Expedição";1;6
Liberação Lacre Vermelho Noven Verão 28 (Grupo 11);Liberação das peças de lacre vermelho da Noven Verão 28 grupo 11. A data inicial é uma previsão, e a data final é um limite.;2027-03-23 00:00:00;2027-06-24 23:59:59;"Noven; Verão 28; Desenvolvimento; PCP; Produção";65;3
Expedição Grupo 11 Noven Verão 28;"Expedição Grupo 11 Noven Verão 28; A data inicial é uma previsão, e a data final é um limite.";2027-11-01 00:00:00;2027-11-01 23:59:59;"Noven; Verão 28; Produção; Expedição";1;2
